vk	26810224	0.0
jy	107872095	1.68
uh	102159313	1.56
ia	28253332	0.0
ll	47829845	0.4
ie	29146493	0.0
ta	52210866	0.46
nz	30207690	0.0
na	30423874	0.0
hr	31293834	0.0
su	31348910	0.0
hk	50662013	0.4
hl	46109806	0.3
by	31939872	0.0
gl	32381519	0.0
lv	32499155	0.0
tu	32867554	0.0
gj	33202902	0.0
tl	33374068	0.0
wj	34416536	0.0
zu	35164658	0.0
dh	35331394	0.0
lq	35744424	0.0
bz	49009006	0.27
hb	36460047	0.0
ff	57165210	0.4
uv	38471703	0.0
tm	39236959	0.0
yt	39245591	0.0
gu	39378165	0.0
so	39765190	0.0
an	40441021	0.0
do	41109279	0.0
xu	41606733	0.0
fj	41728613	0.0
sj	41842845	0.0
bm	42189328	0.0
dl	43035946	0.0
mf	43148678	0.0
ng	43151243	0.0
ru	43991545	0.0
ci	44041358	0.0
dj	44779085	0.0
vh	44907269	0.0
bi	45080503	0.0
dy	45580060	0.0
cl	45747594	0.0
wf	65434756	0.37
qm	48131124	0.0
ih	73329969	0.5
wh	49666528	0.0
ue	51307674	0.0
ld	52560727	0.0
gk	52747795	0.0
vj	53897258	0.0
er	63840113	0.2
ds	64319245	0.2
ve	100422142	0.9
ts	91377395	0.67
mz	60802512	0.0
du	62946012	0.0
yu	120788014	1.2
yy	82930428	0.4
ys	64432966	0.0
uf	65687935	0.0
bj	66606006	0.0
jq	66870586	0.0
zo	67539892	0.0
bk	68875491	0.0
ge	102726888	0.7
qy	69405737	0.0
qu	70725714	0.0
si	70822340	0.0
wz	152518013	1.7
ti	72039924	0.0
he	72636144	0.0
jc	73185506	0.0
wo	74552579	0.0
qr	84481461	0.2
xc	86329077	0.2
dm	80473638	0.0
uu	99680129	0.4
jd	82080656	0.0
hw	82419203	0.0
xd	115087678	0.65
iu	96850640	0.2
ub	87368641	0.0
rf	145438456	1.2
le	88503497	0.0
fh	89062573	0.0
vu	92126063	0.0
ug	95206127	0.0
jm	152805252	1.2
dk	96828569	0.0
hv	98919455	0.0
fu	99023536	0.0
ke	100241672	0.0
ig	100829514	0.0
jx	101988738	0.0
da	117513330	0.3
jw	103372055	0.0
yr	103701531	0.0
xi	103925814	0.0
de	162873453	1.2
di	106115341	0.0
xn	106277169	0.0
fa	121311182	0.2
ye	112423499	0.0
vs	130693966	0.37
xm	113734289	0.0
zl	117988767	0.0
gs	132959033	0.3
go	119169121	0.0
xy	120801092	0.0
zi	123617631	0.0
wu	124188973	0.0
qi	140123135	0.0
li	181510553	0.55
yb	187875625	0.0
bu	193987249	0.0
ji	270028209	0.45
vi	268630079	0.0
yi	332396761	0.4
ui	456693736	0.2
